performance_id,player_id,match_id,points_scored,assists,minutes_played
1,5912,1042,84,5,25
2,12732,17531,68,7,43
3,7047,24360,48,7,82
4,17665,4859,128,7,51
5,2108,14351,83,6,31
6,7106,21957,81,0,32
7,3888,22588,116,8,34
8,4938,13782,101,9,47
9,2900,4315,33,8,45
10,8696,20898,81,4,24
11,19555,8099,94,6,89
12,14257,19673,100,1,53
13,24149,5053,75,7,51
14,3504,8251,7,6,42
15,9247,11650,22,5,57
16,15923,13056,85,2,75
17,22737,5783,115,6,15
18,11452,20860,130,8,48
19,19660,1426,74,1,43
20,24392,14370,139,1,47
21,17468,19556,104,2,21
22,23776,21102,72,3,55
23,6223,4582,8,1,79
24,16715,11059,54,2,65
25,14531,9116,12,1,13
26,10470,22607,142,5,69
27,21983,2047,112,7,79
28,22424,16089,41,2,6
29,13554,23185,24,8,31
30,22935,8577,39,6,39
31,16476,18459,93,4,64
32,13127,14395,52,8,0
33,2935,18890,88,1,76
34,9504,807,110,1,12
35,13821,5942,149,4,49
36,14129,10954,78,8,25
37,14120,23392,62,9,83
38,1780,19382,113,4,2
39,17482,8149,118,1,0
40,20533,15176,130,8,72
41,14526,11890,138,3,55
42,17027,3602,106,8,7
43,2562,23813,117,9,3
44,20582,8110,37,4,68
45,7011,15991,138,3,25
46,14822,16854,31,3,16
47,8927,20558,53,1,44
48,24595,7776,8,4,59
49,16022,8048,126,1,77
50,4757,22944,86,9,80
51,24347,7038,32,1,85
52,2548,10437,32,7,62
53,4735,19828,130,5,50
54,7829,18908,112,7,77
55,5712,6556,62,8,27
56,9757,22237,50,0,74
57,18721,12666,50,0,88
58,4555,2290,132,2,14
59,20746,8418,81,0,76
60,16529,822,2,4,13
61,16186,4750,63,0,66
62,21695,18088,32,9,46
63,19902,6352,93,0,21
64,13130,24155,43,3,21
65,19293,23404,50,1,39
66,6918,3079,30,5,83
67,1674,14163,127,0,1
68,5934,15510,124,2,89
69,13639,402,146,7,70
70,16907,6646,32,1,12
71,13307,19165,117,0,61
72,24614,14680,64,8,82
73,23016,2440,82,0,71
74,23959,15843,33,2,59
75,21280,867,42,5,55
76,3801,1252,57,3,46
77,13251,22655,29,8,51
78,16092,806,129,9,77
79,3209,13898,74,6,34
80,12548,951,4,5,69
81,11314,5809,94,8,30
82,23493,12522,35,4,63
83,7245,23582,91,3,61
84,3145,24976,132,0,86
85,18447,8806,72,1,81
86,1467,4183,134,1,33
87,14194,18255,121,2,68
88,19413,10950,20,2,73
89,8212,21199,132,3,7
90,747,10549,97,7,0
91,4804,8624,134,4,1
92,11116,21887,30,1,84
93,996,12238,1,4,78
94,22491,19733,14,4,54
95,23094,11657,67,9,42
96,9101,22584,22,1,57
97,11005,20009,23,5,66
98,20632,24363,45,1,82
99,19996,17176,102,9,26
100,9991,21292,31,1,56
101,12392,16916,27,8,47
102,17,19619,121,1,88
103,9907,10844,24,5,69
104,17737,13105,52,3,89
105,23778,133,114,1,45
106,9702,15408,102,1,68
107,3496,6063,141,9,31
108,4770,17234,34,8,12
109,14190,16311,84,5,61
110,24198,14406,41,4,63
111,23374,24135,74,1,27
112,7785,3439,67,8,56
113,19526,24833,47,7,83
114,4829,17023,3,3,80
115,6896,16662,136,8,8
116,2478,15457,37,9,42
117,2093,6052,12,8,67
118,3496,14321,138,9,0
119,12032,23157,70,7,79
120,14616,14127,77,9,40
121,12224,14427,63,1,4
122,1970,8498,96,3,24
123,9781,22968,106,2,26
124,16787,9069,97,6,61
125,4331,15360,146,9,79
126,15035,22754,140,4,72
127,11558,15268,92,2,55
128,20860,15445,3,3,50
129,13683,5135,131,5,74
130,8552,19505,65,1,9
131,20373,13654,105,0,23
132,12274,22183,102,2,47
133,10277,15430,64,9,71
134,1367,22637,13,9,25
135,19247,17424,56,6,16
136,22526,310,105,6,24
137,5919,7022,107,6,41
138,5611,22364,125,3,64
139,7718,18590,3,5,47
140,2563,5962,131,0,80
141,20451,1091,126,2,6
142,21935,16982,123,1,25
143,6077,18495,65,4,27
144,11596,1437,81,1,7
145,18591,24764,23,2,20
146,9045,6005,97,1,10
147,12584,5576,124,7,78
148,18535,17930,9,4,41
149,20785,13113,29,9,53
150,6500,19527,84,0,57
151,19252,16380,118,9,3
152,18165,16103,68,9,60
153,17379,11667,34,9,17
154,15563,10126,23,0,58
155,8842,4385,89,4,56
156,7463,11132,137,8,12
157,12255,12655,120,5,74
158,14100,24532,87,4,88
