player_id,player_name,team_id,age,role
1,Player_1,7,36,Batsman
2,Player_2,20,21,All-Rounder
3,Player_3,15,33,All-Rounder
4,Player_4,11,30,Batsman
5,Player_5,8,29,Batsman
6,Player_6,7,21,All-Rounder
7,Player_7,19,29,Defender
8,Player_8,11,34,Goalkeeper
9,Player_9,11,26,Bowler
10,Player_10,4,29,Batsman
11,Player_11,8,32,All-Rounder
12,Player_12,3,37,Batsman
13,Player_13,2,19,Batsman
14,Player_14,12,26,Batsman
15,Player_15,6,31,Batsman
16,Player_16,2,21,Defender
17,Player_17,1,21,Bowler
18,Player_18,12,23,Bowler
19,Player_19,12,22,All-Rounder
20,Player_20,17,34,Defender
21,Player_21,10,30,Defender
22,Player_22,16,37,Bowler
23,Player_23,15,34,All-Rounder
24,Player_24,15,36,Defender
25,Player_25,19,18,All-Rounder
26,Player_26,12,38,Bowler
27,Player_27,20,34,Batsman
28,Player_28,3,39,Defender
29,Player_29,5,20,All-Rounder
30,Player_30,19,31,Batsman
31,Player_31,7,29,Bowler
32,Player_32,9,32,Goalkeeper
33,Player_33,7,23,Defender
34,Player_34,18,37,Defender
35,Player_35,4,39,All-Rounder
36,Player_36,14,19,Bowler
37,Player_37,18,21,Bowler
38,Player_38,9,30,Defender
39,Player_39,2,30,Defender
40,Player_40,20,39,All-Rounder
41,Player_41,15,34,All-Rounder
42,Player_42,7,23,Goalkeeper
43,Player_43,12,28,Batsman
44,Player_44,8,36,All-Rounder
45,Player_45,15,33,Batsman
46,Player_46,3,25,Defender
47,Player_47,14,18,Goalkeeper
48,Player_48,17,27,Goalkeeper
49,Player_49,4,19,Goalkeeper
50,Player_50,18,36,Bowler
51,Player_51,8,31,Defender
52,Player_52,4,20,Bowler
53,Player_53,2,26,Bowler
54,Player_54,6,25,Goalkeeper
55,Player_55,10,28,Bowler
56,Player_56,4,32,Defender
57,Player_57,18,23,Defender
58,Player_58,12,19,Bowler
59,Player_59,2,18,Defender
60,Player_60,10,20,Batsman
61,Player_61,4,35,Bowler
62,Player_62,14,31,Goalkeeper
63,Player_63,16,34,Goalkeeper
64,Player_64,15,19,Defender
65,Player_65,8,36,Defender
66,Player_66,14,39,Goalkeeper
67,Player_67,8,26,Batsman
68,Player_68,16,25,Goalkeeper
69,Player_69,13,27,Bowler
70,Player_70,18,26,Goalkeeper
71,Player_71,15,25,All-Rounder
72,Player_72,13,24,Batsman
73,Player_73,9,39,Batsman
74,Player_74,15,23,Goalkeeper
75,Player_75,13,19,All-Rounder
76,Player_76,1,26,Bowler
77,Player_77,7,26,Goalkeeper
78,Player_78,9,36,Bowler
79,Player_79,1,26,All-Rounder
80,Player_80,12,19,Goalkeeper
81,Player_81,8,36,Goalkeeper
82,Player_82,11,33,Bowler
83,Player_83,19,39,Goalkeeper
84,Player_84,17,31,All-Rounder
85,Player_85,8,37,Goalkeeper
86,Player_86,3,18,Defender
87,Player_87,3,30,All-Rounder
88,Player_88,1,39,Batsman
89,Player_89,5,19,Bowler
90,Player_90,10,39,All-Rounder
91,Player_91,7,31,Batsman
92,Player_92,9,18,Batsman
93,Player_93,7,32,All-Rounder
94,Player_94,9,35,Batsman
95,Player_95,8,26,Batsman
96,Player_96,12,39,Defender
97,Player_97,2,25,Goalkeeper
98,Player_98,1,24,Defender
99,Player_99,16,26,Goalkeeper
100,Player_100,5,26,Batsman
101,Player_101,3,28,Goalkeeper
102,Player_102,12,21,Defender
103,Player_103,8,24,Bowler
104,Player_104,3,38,Bowler
105,Player_105,1,24,Goalkeeper
106,Player_106,3,21,Bowler
107,Player_107,5,29,All-Rounder
108,Player_108,15,34,Bowler
109,Player_109,14,37,Goalkeeper
110,Player_110,3,20,Batsman
111,Player_111,1,26,Defender
112,Player_112,5,22,Bowler
113,Player_113,14,37,Goalkeeper
114,Player_114,7,33,Defender
115,Player_115,9,25,All-Rounder
116,Player_116,15,38,Batsman
117,Player_117,15,33,Defender
118,Player_118,10,36,Defender
119,Player_119,13,33,Goalkeeper
120,Player_120,19,35,All-Rounder
121,Player_121,7,32,Bowler
122,Player_122,17,35,All-Rounder
123,Player_123,20,31,Batsman
124,Player_124,4,33,Bowler
125,Player_125,5,22,All-Rounder
126,Player_126,7,25,Batsman
127,Player_127,13,33,Defender
128,Player_128,15,38,Defender
129,Player_129,11,18,Defender
130,Player_130,4,28,Defender
131,Player_131,13,28,Bowler
132,Player_132,7,19,Defender
133,Player_133,19,39,Bowler
134,Player_134,2,36,Bowler
135,Player_135,10,22,All-Rounder
136,Player_136,13,20,Defender
137,Player_137,6,25,Goalkeeper
138,Player_138,12,21,Defender
139,Player_139,12,30,Goalkeeper
140,Player_140,20,39,Defender
141,Player_141,11,31,Bowler
142,Player_142,7,18,Defender
143,Player_143,1,22,Defender
144,Player_144,1,38,Defender
145,Player_145,20,24,Defender
146,Player_146,13,23,All-Rounder
147,Player_147,9,32,All-Rounder
148,Player_148,3,32,Bowler
149,Player_149,7,25,Bowler
150,Player_150,6,19,Goalkeeper
151,Player_151,8,31,Bowler
152,Player_152,9,33,All-Rounder
153,Player_153,5,27,Bowler
154,Player_154,1,32,Goalkeeper
155,Player_155,19,21,Goalkeeper
156,Player_156,10,29,All-Rounder
157,Player_157,12,27,Bowler
158,Player_158,15,19,Goalkeeper
159,Player_159,9,21,Bowler
160,Player_160,20,37,Bowler
161,Player_161,17,23,All-Rounder
162,Player_162,17,31,All-Rounder
163,Player_163,20,20,Bowler
164,Player_164,12,32,Defender
165,Player_165,7,18,Defender
166,Player_166,2,36,Batsman
167,Player_167,3,18,Batsman
168,Player_168,17,30,Batsman
169,Player_169,5,25,All-Rounder
170,Player_170,17,35,Bowler
171,Player_171,17,39,Goalkeeper
172,Player_172,17,20,Bowler
173,Player_173,2,35,Bowler
174,Player_174,2,37,Batsman
175,Player_175,5,26,Bowler
176,Player_176,1,23,Batsman
177,Player_177,1,37,Bowler
178,Player_178,19,19,Goalkeeper
179,Player_179,2,21,Defender
180,Player_180,12,35,Defender
181,Player_181,6,24,All-Rounder
182,Player_182,4,28,Goalkeeper
183,Player_183,11,22,Bowler
184,Player_184,17,25,Goalkeeper
185,Player_185,6,28,Bowler
186,Player_186,5,37,Goalkeeper
187,Player_187,20,37,Goalkeeper
188,Player_188,2,32,Defender
189,Player_189,6,20,Goalkeeper
190,Player_190,11,24,All-Rounder
191,Player_191,16,25,Bowler
192,Player_192,16,28,Batsman
193,Player_193,1,27,Goalkeeper
194,Player_194,9,37,Batsman
195,Player_195,6,26,Defender
196,Player_196,16,32,Batsman
197,Player_197,3,37,All-Rounder
198,Player_198,20,39,All-Rounder
199,Player_199,4,22,Defender
200,Player_200,19,32,All-Rounder
201,Player_201,3,21,Bowler
202,Player_202,19,22,All-Rounder
203,Player_203,20,32,Goalkeeper
204,Player_204,7,34,All-Rounder
205,Player_205,20,25,Bowler
206,Player_206,9,36,Defender
207,Player_207,1,26,All-Rounder
208,Player_208,8,27,Bowler
209,Player_209,7,22,Goalkeeper
210,Player_210,18,27,Batsman
211,Player_211,8,39,Batsman
212,Player_212,1,18,Defender
213,Player_213,11,39,Defender
214,Player_214,18,21,Batsman
215,Player_215,10,38,Batsman
216,Player_216,3,22,Defender
217,Player_217,7,24,Batsman
218,Player_218,16,22,All-Rounder
219,Player_219,16,37,Bowler
220,Player_220,20,25,Defender
221,Player_221,17,34,Bowler
222,Player_222,2,18,Goalkeeper
223,Player_223,1,39,Goalkeeper
224,Player_224,16,35,All-Rounder
225,Player_225,12,29,Goalkeeper
226,Player_226,5,20,Defender
227,Player_227,5,37,All-Rounder
228,Player_228,9,31,All-Rounder
229,Player_229,9,33,Defender
230,Player_230,3,35,Batsman
231,Player_231,19,27,Bowler
232,Player_232,16,32,Defender
233,Player_233,16,27,Batsman
234,Player_234,3,18,Batsman
235,Player_235,20,36,Goalkeeper
236,Player_236,1,19,All-Rounder
237,Player_237,20,30,All-Rounder
238,Player_238,11,33,Goalkeeper
239,Player_239,17,25,Goalkeeper
240,Player_240,8,20,All-Rounder
241,Player_241,4,38,Defender
242,Player_242,6,36,Defender
243,Player_243,8,31,Defender
244,Player_244,20,28,Defender
245,Player_245,3,29,Goalkeeper
246,Player_246,16,28,Bowler
247,Player_247,3,28,Bowler
248,Player_248,18,39,All-Rounder
249,Player_249,14,38,Bowler
250,Player_250,18,35,Defender
251,Player_251,2,27,Goalkeeper
252,Player_252,3,33,Defender
253,Player_253,16,25,Batsman
254,Player_254,9,23,Goalkeeper
255,Player_255,4,36,Batsman
256,Player_256,1,30,Batsman
257,Player_257,4,32,All-Rounder
258,Player_258,1,30,Batsman
259,Player_259,14,18,Bowler
260,Player_260,16,38,Bowler
261,Player_261,20,19,Batsman
262,Player_262,8,30,All-Rounder
263,Player_263,7,19,Batsman
264,Player_264,3,28,Goalkeeper
265,Player_265,17,30,Goalkeeper
266,Player_266,1,27,Goalkeeper
267,Player_267,16,39,Goalkeeper
268,Player_268,12,32,Batsman
269,Player_269,19,18,Defender
270,Player_270,14,31,Defender
271,Player_271,6,27,Goalkeeper
272,Player_272,6,35,All-Rounder
273,Player_273,13,28,All-Rounder
274,Player_274,19,24,Batsman
275,Player_275,8,32,Defender
276,Player_276,2,20,Batsman
277,Player_277,1,19,Bowler
278,Player_278,15,39,Goalkeeper
279,Player_279,1,25,Bowler
280,Player_280,5,25,Bowler
281,Player_281,16,28,All-Rounder
282,Player_282,19,33,Defender
283,Player_283,4,19,Goalkeeper
284,Player_284,3,39,Batsman
285,Player_285,17,22,Goalkeeper
286,Player_286,17,24,Batsman
287,Player_287,12,37,Batsman
288,Player_288,14,30,Defender
289,Player_289,6,19,Bowler
290,Player_290,3,20,Batsman
291,Player_291,9,26,Defender
292,Player_292,5,27,Bowler
293,Player_293,17,30,Bowler
294,Player_294,14,38,Goalkeeper
295,Player_295,3,30,Goalkeeper
296,Player_296,1,22,Goalkeeper
297,Player_297,20,24,All-Rounder
298,Player_298,1,34,Bowler
299,Player_299,3,32,All-Rounder
300,Player_300,18,22,Goalkeeper
301,Player_301,10,24,Defender
302,Player_302,3,19,Goalkeeper
303,Player_303,8,35,Batsman
304,Player_304,14,27,Defender
305,Player_305,18,18,Defender
306,Player_306,15,31,Bowler
307,Player_307,2,36,All-Rounder
308,Player_308,10,33,Batsman
309,Player_309,2,36,Defender
310,Player_310,17,23,All-Rounder
311,Player_311,8,29,All-Rounder
312,Player_312,1,20,Batsman
313,Player_313,9,24,Batsman
314,Player_314,11,20,Goalkeeper
315,Player_315,16,34,Goalkeeper
316,Player_316,7,32,Defender
317,Player_317,10,36,Defender
318,Player_318,3,36,Defender
319,Player_319,18,28,Goalkeeper
320,Player_320,13,38,Defender
321,Player_321,7,37,Defender
322,Player_322,4,19,Goalkeeper
323,Player_323,13,24,Goalkeeper
324,Player_324,20,36,Defender
325,Player_325,1,24,Defender
326,Player_326,8,27,All-Rounder
327,Player_327,14,29,Bowler
328,Player_328,16,35,Goalkeeper
329,Player_329,14,23,Bowler
330,Player_330,12,37,Goalkeeper
331,Player_331,19,38,All-Rounder
332,Player_332,15,25,Bowler
333,Player_333,2,22,All-Rounder
334,Player_334,2,20,Batsman
335,Player_335,19,19,Bowler
336,Player_336,17,39,Bowler
337,Player_337,20,23,Bowler
338,Player_338,10,24,Batsman
339,Player_339,6,25,Batsman
340,Player_340,15,21,All-Rounder
341,Player_341,11,29,Batsman
342,Player_342,5,29,Goalkeeper
343,Player_343,1,34,Defender
344,Player_344,8,39,Bowler
345,Player_345,12,39,All-Rounder
346,Player_346,12,36,All-Rounder
347,Player_347,5,26,All-Rounder
348,Player_348,7,29,All-Rounder
349,Player_349,4,38,Bowler
350,Player_350,6,34,All-Rounder
351,Player_351,13,27,Bowler
352,Player_352,20,36,All-Rounder
353,Player_353,15,28,All-Rounder
354,Player_354,3,37,Defender
355,Player_355,8,39,Goalkeeper
356,Player_356,20,30,Batsman
357,Player_357,16,21,Batsman
358,Player_358,13,32,Batsman
359,Player_359,18,29,Goalkeeper
360,Player_360,10,27,Bowler
361,Player_361,19,39,Batsman
362,Player_362,17,24,Batsman
363,Player_363,19,19,Batsman
364,Player_364,5,38,Bowler
365,Player_365,9,24,Goalkeeper
366,Player_366,12,25,Goalkeeper
367,Player_367,1,38,Bowler
368,Player_368,1,36,Defender
369,Player_369,15,23,All-Rounder
370,Player_370,2,38,Bowler
371,Player_371,16,25,All-Rounder
372,Player_372,8,39,Goalkeeper
373,Player_373,13,37,All-Rounder
374,Player_374,1,21,Batsman
375,Player_375,16,37,All-Rounder
376,Player_376,7,26,All-Rounder
377,Player_377,5,22,Goalkeeper
378,Player_378,3,23,Defender
379,Player_379,12,36,All-Rounder
380,Player_380,16,29,Goalkeeper
381,Player_381,19,22,Batsman
382,Player_382,5,22,All-Rounder
383,Player_383,14,35,All-Rounder
384,Player_384,5,23,Batsman
385,Player_385,15,26,Bowler
386,Player_386,17,28,Defender
387,Player_387,14,31,Batsman
388,Player_388,20,19,Batsman
389,Player_389,5,31,Batsman
390,Player_390,12,36,Bowler
391,Player_391,16,27,Batsman
392,Player_392,16,22,Bowler
393,Player_393,7,21,Defender
394,Player_394,4,24,Bowler
395,Player_395,1,30,Defender
396,Player_396,5,27,Defender
397,Player_397,10,27,Defender
398,Player_398,5,21,Goalkeeper
399,Player_399,4,33,Defender
400,Player_400,2,32,Bowler
401,Player_401,20,38,Goalkeeper
402,Player_402,10,28,Batsman
403,Player_403,19,36,Batsman
404,Player_404,1,38,All-Rounder
405,Player_405,5,20,Defender
406,Player_406,13,32,All-Rounder
407,Player_407,4,33,Defender
408,Player_408,16,31,Defender
409,Player_409,16,22,Bowler
410,Player_410,2,34,Bowler
411,Player_411,17,35,Batsman
412,Player_412,20,36,Goalkeeper
413,Player_413,12,18,Batsman
414,Player_414,18,26,Defender
415,Player_415,3,38,Goalkeeper
416,Player_416,1,31,All-Rounder
417,Player_417,1,37,Defender
418,Player_418,19,38,Bowler
419,Player_419,11,37,Batsman
420,Player_420,5,38,Batsman
421,Player_421,12,28,All-Rounder
422,Player_422,3,19,Batsman
423,Player_423,1,37,Batsman
424,Player_424,1,22,Goalkeeper
425,Player_425,8,39,Defender
426,Player_426,10,32,Goalkeeper
427,Player_427,11,29,Goalkeeper
428,Player_428,12,31,Batsman
429,Player_429,13,28,Defender
430,Player_430,12,38,Batsman
431,Player_431,14,26,Batsman
432,Player_432,2,37,Goalkeeper
433,Player_433,19,25,Bowler
434,Player_434,18,29,Bowler
435,Player_435,3,20,Goalkeeper
436,Player_436,17,38,Goalkeeper
437,Player_437,8,32,Batsman
438,Player_438,10,25,Defender
439,Player_439,2,24,Batsman
440,Player_440,19,34,Batsman
441,Player_441,9,29,All-Rounder
442,Player_442,7,37,Batsman
443,Player_443,4,35,Defender
444,Player_444,18,35,Batsman
445,Player_445,13,32,Goalkeeper
446,Player_446,11,20,Defender
447,Player_447,4,36,Goalkeeper
448,Player_448,4,32,All-Rounder
449,Player_449,10,33,All-Rounder
450,Player_450,5,39,Defender
451,Player_451,9,39,Bowler
452,Player_452,3,34,Bowler
453,Player_453,17,18,Defender
454,Player_454,3,28,Defender
455,Player_455,16,23,Goalkeeper
456,Player_456,4,26,All-Rounder
457,Player_457,18,37,Defender
458,Player_458,17,33,Batsman
459,Player_459,7,23,Goalkeeper
460,Player_460,5,29,All-Rounder
461,Player_461,12,36,Goalkeeper
462,Player_462,17,30,All-Rounder
463,Player_463,13,30,Batsman
464,Player_464,3,21,All-Rounder
465,Player_465,9,26,Goalkeeper
466,Player_466,17,31,All-Rounder
467,Player_467,17,31,Goalkeeper
468,Player_468,20,34,Defender
469,Player_469,16,22,Batsman
470,Player_470,13,36,Goalkeeper
471,Player_471,19,19,Bowler
472,Player_472,17,30,Bowler
473,Player_473,4,28,All-Rounder
474,Player_474,12,19,Defender
475,Player_475,9,18,Defender
476,Player_476,19,38,Bowler
477,Player_477,12,20,All-Rounder
478,Player_478,9,29,Defender
479,Player_479,7,24,Defender
480,Player_480,14,18,All-Rounder
481,Player_481,20,26,Goalkeeper
482,Player_482,19,35,Bowler
483,Player_483,15,37,Defender
484,Player_484,16,23,Goalkeeper
485,Player_485,5,26,Goalkeeper
486,Player_486,3,25,Goalkeeper
487,Player_487,12,35,Goalkeeper
488,Player_488,20,32,Batsman
489,Player_489,4,18,Batsman
490,Player_490,16,31,All-Rounder
491,Player_491,7,35,Bowler
492,Player_492,13,36,All-Rounder
493,Player_493,10,36,Batsman
494,Player_494,7,27,All-Rounder
495,Player_495,14,37,All-Rounder
496,Player_496,5,38,Goalkeeper
497,Player_497,3,23,Defender
498,Player_498,11,34,Batsman
499,Player_499,11,31,Batsman
500,Player_500,18,30,All-Rounder
501,Player_501,15,25,Defender
502,Player_502,12,39,All-Rounder
503,Player_503,9,27,Bowler
504,Player_504,10,26,Batsman
505,Player_505,12,22,Goalkeeper
506,Player_506,17,21,Goalkeeper
507,Player_507,6,23,Goalkeeper
508,Player_508,7,23,Batsman
509,Player_509,14,30,Batsman
510,Player_510,13,21,Goalkeeper
511,Player_511,8,39,Batsman
512,Player_512,10,25,Goalkeeper
513,Player_513,9,22,Bowler
514,Player_514,18,19,Bowler
515,Player_515,2,26,Bowler
516,Player_516,5,28,All-Rounder
517,Player_517,5,37,All-Rounder
518,Player_518,6,37,Defender
519,Player_519,19,28,Defender
520,Player_520,8,24,Defender
521,Player_521,16,31,Bowler
522,Player_522,13,23,Bowler
523,Player_523,1,21,Bowler
524,Player_524,20,23,Batsman
525,Player_525,17,20,Batsman
526,Player_526,7,23,Bowler
527,Player_527,13,20,Goalkeeper
528,Player_528,4,18,Defender
529,Player_529,4,38,All-Rounder
530,Player_530,6,35,Defender
531,Player_531,19,21,Goalkeeper
532,Player_532,12,23,Batsman
533,Player_533,7,34,Bowler
534,Player_534,10,35,Batsman
535,Player_535,19,23,Batsman
536,Player_536,7,19,Goalkeeper
537,Player_537,3,29,Batsman
538,Player_538,13,29,Batsman
539,Player_539,13,21,Defender
540,Player_540,18,33,Defender
541,Player_541,20,37,Goalkeeper
542,Player_542,8,27,Bowler
543,Player_543,9,27,Defender
544,Player_544,7,24,Batsman
545,Player_545,1,31,All-Rounder
546,Player_546,3,24,Defender
547,Player_547,13,29,All-Rounder
548,Player_548,17,28,Bowler
549,Player_549,1,34,Batsman
550,Player_550,6,28,Defender
551,Player_551,6,38,Bowler
552,Player_552,12,20,Goalkeeper
553,Player_553,13,36,Bowler
554,Player_554,13,39,Goalkeeper
555,Player_555,15,21,Goalkeeper
556,Player_556,16,25,Defender
557,Player_557,11,31,All-Rounder
558,Player_558,5,37,Goalkeeper
559,Player_559,4,31,Batsman
560,Player_560,3,33,Defender
561,Player_561,19,32,Goalkeeper
562,Player_562,20,29,Defender
563,Player_563,18,33,Batsman
564,Player_564,15,37,Defender
565,Player_565,9,36,Defender
566,Player_566,17,22,Goalkeeper
567,Player_567,14,29,Bowler
568,Player_568,15,22,Defender
569,Player_569,1,27,Goalkeeper
570,Player_570,3,34,Batsman
571,Player_571,16,32,Batsman
572,Player_572,11,25,Bowler
573,Player_573,12,25,Batsman
574,Player_574,10,25,Goalkeeper
575,Player_575,16,27,Bowler
576,Player_576,8,37,Goalkeeper
577,Player_577,6,30,Bowler
578,Player_578,12,33,Bowler
579,Player_579,8,26,Goalkeeper
580,Player_580,4,33,Bowler
581,Player_581,8,27,Goalkeeper
582,Player_582,18,20,Batsman
583,Player_583,5,39,Batsman
584,Player_584,9,31,Defender
585,Player_585,4,30,All-Rounder
586,Player_586,17,21,All-Rounder
587,Player_587,9,21,Batsman
588,Player_588,1,23,Defender
589,Player_589,20,36,All-Rounder
590,Player_590,13,28,Goalkeeper
591,Player_591,16,25,Goalkeeper
592,Player_592,13,31,Bowler
593,Player_593,14,25,All-Rounder
594,Player_594,3,31,Goalkeeper
595,Player_595,6,24,All-Rounder
596,Player_596,18,38,Bowler
597,Player_597,19,35,Batsman
598,Player_598,5,29,Defender
599,Player_599,15,31,Bowler
600,Player_600,2,32,Bowler
601,Player_601,10,35,Bowler
602,Player_602,18,29,Defender
603,Player_603,13,27,Goalkeeper
